date,pool_key,hashrate
2023-12-01,foundryusa,131455136401851744256
2023-12-02,foundryusa,130859536040687403008
2023-12-03,foundryusa,135309494549207957504
2023-12-04,foundryusa,134405010360266768384
2023-12-05,foundryusa,136198050887087030272
2023-12-06,foundryusa,130170231159267229696
2023-12-07,foundryusa,143201868129042317312
2023-12-08,foundryusa,141202915763374538752
2023-12-09,foundryusa,144229611711945654272
2023-12-10,foundryusa,145144912325864701952
2023-12-11,foundryusa,141968037757124427776
2023-12-12,foundryusa,142981919752217837568
2023-12-13,foundryusa,142519114742084616192
2023-12-14,foundryusa,143250770726037848064
2023-12-15,foundryusa,142529418250831069184
2023-12-16,foundryusa,148022478187623186432
2023-12-17,foundryusa,146781488287348588544
2023-12-18,foundryusa,144262113334907813888
2023-12-19,foundryusa,147080712865929904128
2023-12-20,foundryusa,147483411093275344896
2023-12-21,foundryusa,150437757841309401088
2023-12-22,foundryusa,153157585403033255936
2023-12-23,foundryusa,157123320424055013376
2023-12-24,foundryusa,158279906999712907264
2023-12-25,foundryusa,159575201633209942016
2023-12-26,foundryusa,157321779816834465792
2023-12-27,foundryusa,155091304841173303296
2023-12-28,foundryusa,157723920317950230528
2023-12-29,foundryusa,156585819112528969728
2023-12-30,foundryusa,156555746642718523392
2023-12-31,foundryusa,162753551968047726592
2024-01-01,foundryusa,161989236984883412992
2024-01-02,foundryusa,161176179637832024064
2024-01-03,foundryusa,155988239906992324608
2024-01-04,foundryusa,160850262075192737792
2024-01-05,foundryusa,161558635236514955264
2024-01-06,foundryusa,157122808784593321984
2024-01-07,foundryusa,155275809940247281664
2024-01-08,foundryusa,154898567071826903040
2024-01-09,foundryusa,155943476072367357952
2024-01-10,foundryusa,158641530260301086720
2024-01-11,foundryusa,156302964857427296256
2024-01-12,foundryusa,154271701508091805696
2024-01-13,foundryusa,153570179328060850176
2024-01-14,foundryusa,143878578548655964160
2024-01-15,foundryusa,112903251920564387840
2024-01-16,foundryusa,115159802678218457088
2024-01-17,foundryusa,121306942661569560576
2024-01-18,foundryusa,144674526609214160896
2024-01-19,foundryusa,148848614532217634816
2024-01-20,foundryusa,153714485713706909696
2024-01-21,foundryusa,157552088907017551872
2024-01-22,foundryusa,144273742413994639360
2024-01-23,foundryusa,156302759989752463360
2024-01-24,foundryusa,158072477272108367872
2024-01-25,foundryusa,159550942996452605952
2024-01-26,foundryusa,161802991589132009472
2024-01-27,foundryusa,164083537264896835584
2024-01-28,foundryusa,162900456857297813504
2024-01-29,foundryusa,161842822548409483264
2024-01-30,foundryusa,161988058160041623552
2024-01-31,foundryusa,162983789026831630336
2024-02-01,foundryusa,164292355969093959680
2024-02-02,foundryusa,165427550178948546560
2024-02-03,foundryusa,169406599534621523968
2024-02-04,foundryusa,169487115031050944512
2024-02-05,foundryusa,165847115422564646912
2024-02-06,foundryusa,163370741219719380992
2024-02-07,foundryusa,166467725588804239360
2024-02-08,foundryusa,164421505823511543808
2024-02-09,foundryusa,168476307212954435584
